PROPERTY_TOTAL_VALUE,AREA_EN,ACTUAL_AREA,PROCEDURE_YEAR,PROCEDURE_NUMBER,INSTANCE_DATE,ACTUAL_WORTH,PROCEDURE_AREA,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN
613321,Nadd Hessa,79.45,2026,1292,26-02-2026 9.45,613320.64,79.45,Unit,Flat
624545,Jabal Ali,45,2026,2757,17-06-2026 9.56,624545.02,45,Unit,Flat
625948,Nadd Hessa,79.11,2026,1281,25-02-2026 12.31,625947.97,79.11,Unit,Flat
635366,Al Barsha South Fourth,69.74,2026,1257,24-02-2026 13.09,635365.76,69.74,Unit,Flat
645091,Al Barsha South Fifth,29.26,2026,2616,05-06-2026 11.11,645091.01,29.26,Unit,Hotel Rooms
645793,Me'Aisem First,67.02,2026,2775,17-06-2026 16.06,645793,67.02,Unit,Flat
649009,Al Muteena,120.59,2026,785,03-02-2026 16.23,649009,120.59,Land,Commercial
656088,Nadd Hessa,78.56,2026,1293,26-02-2026 9.52,656087.77,78.56,Unit,Flat
658917,Business Bay,29.2,2026,2738,16-06-2026 13.00,658916.72,29.2,Unit,Office
658917,Business Bay,29.2,2026,2762,17-06-2026 12.23,658916.72,29.2,Unit,Office
670103,Al Barshaa South Third,83.06,2026,272,12-01-2026 16.33,670103.28,83.06,Unit,Flat
675558,Al Thanyah First,36.34,2026,2823,21-06-2026 17.55,675557.54,36.34,Unit,Flat
682396,Nadd Hessa,89.92,2026,1373,04-03-2026 11.25,682395.72,89.92,Unit,Flat
682496,Abu Hail,181.16,2026,2237,05-05-2026 7.55,682496,181.16,Land,Residential
683022,Business Bay,39.85,2026,2768,17-06-2026 13.26,683022.11,39.85,Unit,Flat
684803,Business Bay,29.2,2026,1015,12-02-2026 12.33,684803.14,29.2,Unit,Office
709966,Al Hebiah Fifth,65.72,2026,2967,26-06-2026 12.18,709965.56,65.72,Unit,Flat
712742,Business Bay,38.31,2026,1155,18-02-2026 12.39,712741.5,38.31,Unit,Flat
716056,Rega Al Buteen,85.75,2026,299,13-01-2026 11.34,716055.85,85.75,Unit,Flat
722137,Wadi Al Safa 5,100.98,2026,2217,02-05-2026 14.21,722136.63,100.98,Unit,Flat
726415,Al Hebiah Fourth,86.01,2026,292,13-01-2026 11.11,726415.17,86.01,Unit,Flat
728115,Al Qusais Industrial Fifth,96.61,2026,2980,29-06-2026 10.05,728114.51,96.61,Unit,Flat
733204,Al Hebiah Fourth,87.12,2026,296,13-01-2026 11.21,733203.5,87.12,Unit,Flat
737904,Al Barshaa South Third,58.18,2026,584,23-01-2026 21.15,737904.25,58.18,Unit,Office
740149,Jabal Ali,78,2026,877,07-02-2026 17.46,740148.58,78,Unit,Flat
744795,Al Hebiah Fourth,89.21,2026,286,13-01-2026 10.39,744794.99,89.21,Unit,Flat
745706,Al Hebiah Fourth,89.21,2026,289,13-01-2026 10.55,745706.03,89.21,Unit,Flat
745748,Al Hebiah Fourth,89.21,2026,284,13-01-2026 10.29,745747.78,89.21,Unit,Flat
747083,Al Hebiah Fourth,89.21,2026,298,13-01-2026 11.25,747082.97,89.21,Unit,Flat
747294,Al Hebiah Fourth,89.21,2026,291,13-01-2026 11.07,747293.75,89.21,Unit,Flat
748589,Al Hebiah Fourth,89.79,2026,290,13-01-2026 11.01,748589.1,89.79,Unit,Flat
757113,Al Merkadh,29.07,2026,1973,16-04-2026 15.51,757112.5,29.07,Unit,Flat
758221,Al Hebiah Fourth,92.18,2026,297,13-01-2026 11.23,758220.71,92.18,Unit,Flat
758715,Al Barsha South Fourth,23.14,2026,2860,23-06-2026 21.56,758714.77,23.14,Unit,Hotel Rooms
759410,Al Hebiah Fourth,92.34,2026,294,13-01-2026 11.17,759409.71,92.34,Unit,Flat
760788,Al Hebiah Fourth,90.38,2026,2824,21-06-2026 22.43,760788,90.38,Unit,Flat
763961,Al Qusais Industrial Fifth,101.79,2026,2831,22-06-2026 9.19,763960.86,101.79,Unit,Flat
777625,Al Yelayiss 2,44.54,2026,2050,21-04-2026 8.20,777624.68,44.54,Unit,Flat
778929,Nadd Hessa,97.26,2026,1289,26-02-2026 9.19,778928.75,97.26,Unit,Flat
780452,Nadd Hessa,97.26,2026,1290,26-02-2026 9.29,780452.27,97.26,Unit,Flat
781849,Al Hebiah Fourth,93.63,2026,288,13-01-2026 10.48,781849.17,93.63,Unit,Flat
781915,Nadd Hessa,97.26,2026,1288,26-02-2026 9.13,781915.28,97.26,Unit,Flat
782175,Al Hebiah Fourth,93.63,2026,287,13-01-2026 10.43,782174.7,93.63,Unit,Flat
784149,Al Hebiah Fourth,94.2,2026,293,13-01-2026 11.14,784148.5,94.2,Unit,Flat
787681,Al Thanyah Third,40.18,2026,2655,09-06-2026 9.45,787681.36,40.18,Unit,Flat
798464,Al Hebiah Third,43.67,2026,109,06-01-2026 19.49,798464.16,43.67,Unit,Hotel Rooms
798518,Business Bay,37.86,2026,367,14-01-2026 13.19,798518.23,37.86,Unit,Flat
800000,Wadi Al Safa 3,35.97,2026,1382,04-03-2026 14.06,800000,35.97,Unit,Flat
812463,Warsan Fourth,77.75,2026,1915,13-04-2026 14.37,812462.51,77.75,Unit,Flat
820360,Wadi Al Safa 5,115.86,2026,1246,24-02-2026 12.03,820359.69,115.86,Unit,Flat
826027,Al Thanyah First,51,2026,1031,12-02-2026 18.38,826027.44,51,Unit,Flat
827258,Al Barsha South Fourth,63.95,2026,2079,22-04-2026 10.45,827257.69,63.95,Unit,Flat
834981,Jabal Ali,91,2026,2354,12-05-2026 14.27,834981.41,91,Unit,Flat
841501,Al Barshaa South Third,68.64,2026,1559,18-03-2026 19.02,841500.72,68.64,Unit,Flat
842422,Me'Aisem First,90.82,2026,2774,17-06-2026 15.47,842422.39,90.82,Unit,Flat
844839,Al Hebiah Fifth,93.73,2026,1297,26-02-2026 11.24,844839.27,93.73,Unit,Flat
847657,Jabal Ali,89,2026,2444,19-05-2026 12.55,847657.36,89,Unit,Flat
854676,Nadd Hessa,84.73,2026,1695,31-03-2026 10.33,854675.73,84.73,Unit,Flat
862329,Wadi Al Safa 5,117.19,2026,2560,03-06-2026 8.22,862329.03,117.19,Unit,Flat
874572,Business Bay,49.59,2026,249,12-01-2026 10.47,874572.33,49.59,Unit,Office
877158,Al Barsha South Fourth,56.55,2026,1214,23-02-2026 12.58,877157.53,56.55,Unit,Flat
878906,Um Hurair Second,51.76,2026,2006,17-04-2026 12.17,878906.47,51.76,Unit,Flat
882529,Al Hebiah Fourth,101.01,2026,1508,16-03-2026 10.28,882528.92,101.01,Unit,Flat
886691,Al Barshaa South Third,79.47,2026,2114,23-04-2026 15.49,886691.33,79.47,Unit,Flat
887456,Al Barsha South Fourth,72.05,2026,1633,26-03-2026 1.25,887455.98,72.05,Unit,Flat
891315,Al Barsha South Fourth,57.37,2026,1208,23-02-2026 12.44,891315.29,57.37,Unit,Flat
892437,Jabal Ali,81,2026,2743,16-06-2026 14.47,892437.25,81,Unit,Flat
893541,Um Hurair Second,52.62,2026,2010,17-04-2026 12.35,893540.98,52.62,Unit,Flat
895803,Al Barsha South Fourth,57.39,2026,1215,23-02-2026 13.02,895803.42,57.39,Unit,Flat
896374,Jabal Ali,81,2026,2758,17-06-2026 10.02,896373.78,81,Unit,Flat
897330,Al Barsha South Fourth,57.46,2026,1207,23-02-2026 12.40,897329.96,57.46,Unit,Flat
906875,Al Qusais Industrial Fifth,120.92,2026,2829,22-06-2026 9.07,906875.31,120.92,Unit,Flat
906875,Al Qusais Industrial Fifth,120.92,2026,2828,22-06-2026 9.03,906875.31,120.92,Unit,Flat
912753,Dubai Investment Park Second,143.03,2026,138,07-01-2026 9.08,912753.13,143.03,Unit,Flat
916532,Al Barsha South Fourth,72.34,2026,2960,26-06-2026 11.44,916531.96,72.34,Unit,Flat
916910,Al Barsha South Fourth,100.89,2026,99,06-01-2026 13.41,916909.98,100.89,Unit,Flat
922081,Business Bay,44.48,2026,2445,19-05-2026 13.21,922081.43,44.48,Unit,Hotel Rooms
924976,Al Barshaa South Third,75.37,2026,1777,06-04-2026 11.31,924976.49,75.37,Unit,Flat
930838,Marsa Dubai,47.73,2026,1793,07-04-2026 8.23,930838.18,47.73,Unit,Flat
931228,Al Raffa,144.19,2026,2554,02-06-2026 15.16,931228,144.19,Land,Commercial
936840,Al Barsha South Fourth,75.13,2026,2078,22-04-2026 10.36,936840.49,75.13,Unit,Flat
958032,Business Bay,46.51,2026,2802,18-06-2026 15.08,958031.78,46.51,Unit,Hotel Rooms
958218,Al Hebiah Fourth,112.37,2026,2654,09-06-2026 9.41,958217.83,112.37,Unit,Flat
960778,Business Bay,43.82,2026,305,13-01-2026 13.32,960777.73,43.82,Unit,Flat
962216,Marsa Dubai,41.42,2026,1486,13-03-2026 11.20,962216.11,41.42,Unit,Flat
963565,Business Bay,43.99,2026,302,13-01-2026 12.42,963565.35,43.99,Unit,Flat
963975,Um Hurair Second,57.09,2026,1874,09-04-2026 15.53,963975.36,57.09,Unit,Flat
964754,Um Hurair Second,57.27,2026,2000,17-04-2026 11.51,964753.89,57.27,Unit,Flat
964754,Um Hurair Second,57.27,2026,2009,17-04-2026 12.31,964753.89,57.27,Unit,Flat
965157,Um Hurair Second,57.16,2026,2005,17-04-2026 12.12,965157.33,57.16,Unit,Flat
978559,Al Barsha South Fourth,87.81,2026,452,19-01-2026 9.28,978559.15,87.81,Unit,Flat
982452,Al Jadaf,67.78,2026,172,08-01-2026 11.07,982452.03,67.78,Unit,Flat
988287,Al Barsha South Fourth,61.21,2026,866,06-02-2026 11.11,988287,61.21,Unit,Flat
990286,Wadi Al Safa 2,157.23,2026,37,04-01-2026 19.15,990285.94,157.23,Unit,Flat
992216,Al Murqabat,167.6,2026,2703,11-06-2026 12.11,992216,167.6,Land,Commercial
1000000,Al Muteena,183.95,2026,1623,25-03-2026 10.41,1000000,183.95,Land,Commercial
1000000,Wadi Al Safa 5,88.86,2026,2227,04-05-2026 10.58,1000000,88.86,Unit,Flat
1001097,Hor Al Anz,185.81,2026,1533,17-03-2026 11.15,1001097,186.01,Land,Residential
1004667,Business Bay,48.42,2026,2451,19-05-2026 14.16,1004666.9,48.42,Unit,Hotel Rooms
1010307,Al Barshaa South Third,84.15,2026,583,23-01-2026 21.11,1010307.35,84.15,Unit,Office
1018258,Me'Aisem First,129.14,2026,1481,13-03-2026 9.22,1018258.33,129.14,Unit,Flat
1023494,Al Hebiah Second,68.13,2026,2926,25-06-2026 11.29,1023493.56,68.13,Unit,Flat
1024076,Al Thanyah Fifth,66.53,2026,2369,13-05-2026 18.33,1024076.24,66.53,Unit,Flat
1033109,Al Hebiah Fourth,112.48,2026,1483,13-03-2026 9.31,1033109.14,112.48,Unit,Flat
1035916,Business Bay,37.9,2026,1560,19-03-2026 10.46,1035915.59,37.9,Unit,Flat
1053419,Ras Al Khor Industrial Third,767104.49,2026,2393,15-05-2026 14.26,1053419,1053419.02,Land,Amusement Park
1055745,Warsan Fourth,105.82,2026,1914,13-04-2026 14.33,1055745.02,105.82,Unit,Flat
1064414,Business Bay,68.53,2026,731,02-02-2026 12.53,1064413.52,68.53,Unit,Office
1073681,Al Qusais Industrial Fifth,152.15,2026,2981,29-06-2026 10.11,1073680.56,152.15,Unit,Flat
1074355,Al Merkadh,55.45,2026,1413,09-03-2026 9.31,1074355.39,55.45,Unit,Flat
1079352,Hadaeq Sheikh Mohammed Bin Rashid,44.21,2026,2664,09-06-2026 12.41,1079352.22,44.21,Unit,Flat
1080007,Al Muteena,250.84,2026,900,09-02-2026 12.51,1080007,250.84,Land,Commercial
1085481,Al Jadaf,75.75,2026,620,26-01-2026 13.50,1085481.04,75.75,Unit,Flat
1097950,Al Hebiah Fourth,136.27,2026,2222,04-05-2026 8.44,1097949.85,136.27,Unit,Flat
1100022,Al Muteena,185.81,2026,59,05-01-2026 13.30,1100022,185.81,Land,Commercial
1109712,Wadi Al Safa 4,130,2026,461,19-01-2026 10.20,1109711.57,130,Unit,Flat
1112581,Al Yelayiss 2,81.89,2026,2324,12-05-2026 8.42,1112580.8,81.89,Unit,Flat
1123751,Hor Al Anz,232.25,2026,1165,19-02-2026 10.40,1123751,232,Land,Residential
1124476,Al Thanyah Fifth,70.09,2026,2714,12-06-2026 10.35,1124475.79,70.09,Unit,Flat
1125011,Hor Al Anz,232.26,2026,1166,19-02-2026 10.52,1125011,232.26,Land,Residential
1127353,Al Thanyah Third,63.19,2026,460,19-01-2026 10.14,1127353.48,63.19,Unit,Flat
1127683,Marsa Dubai,77.04,2026,1505,16-03-2026 9.56,1127682.62,77.04,Unit,Flat
1128245,Al Hebiah Fourth,135.06,2026,1510,16-03-2026 10.52,1128245.07,135.06,Unit,Flat
1131111,Um Hurair Second,68.35,2026,1996,17-04-2026 11.34,1131111.49,68.35,Unit,Flat
1132130,Al Qusais Industrial Fifth,153.81,2026,2827,22-06-2026 9.00,1132130.37,153.81,Unit,Flat
1135480,Al Thanyah Fifth,80.04,2026,1482,13-03-2026 9.26,1135479.93,80.04,Unit,Office
1136840,World Islands,37.72,2026,2387,15-05-2026 8.36,1136840,37.72,Unit,Hotel Rooms
1151393,Hor Al Anz,178.28,2026,2842,22-06-2026 14.16,1151393,178.28,Land,Residential
1154166,Um Hurair Second,67.89,2026,2011,17-04-2026 12.39,1154166.46,67.89,Unit,Flat
1157463,Al Merkadh,49.26,2026,2514,22-05-2026 12.08,1157463.45,49.26,Unit,Flat
1159209,Um Hurair Second,70.05,2026,1999,17-04-2026 11.47,1159208.93,70.05,Unit,Flat
1176411,Al Barsha South Fourth,119.38,2026,2776,17-06-2026 16.45,1176411.03,119.38,Unit,Flat
1177387,Business Bay,80.91,2026,843,05-02-2026 14.14,1177386.69,80.91,Unit,Flat
1182532,Al Barsha South Fourth,86.47,2026,451,19-01-2026 9.24,1182532.17,86.47,Unit,Flat
1184354,Burj Khalifa,59.06,2026,1822,08-04-2026 12.23,1184354.18,59.06,Unit,Office
1184547,Um Hurair Second,71.49,2026,2001,17-04-2026 11.56,1184546.73,71.49,Unit,Flat
1187607,Al Jadaf,65.65,2026,2115,23-04-2026 19.03,1187606.88,65.65,Unit,Flat
1191581,Warsan Fourth,120.7,2026,1916,13-04-2026 14.39,1191581.47,120.7,Unit,Flat
1194255,Al Hebiah Fourth,110.95,2026,1158,18-02-2026 12.44,1194255,110.95,Unit,Flat
1199981,Al Barshaa South Second,79.63,2026,2715,12-06-2026 10.47,1199981,79.63,Unit,Flat
1200000,Al Twar Fourth,529.58,2026,2747,16-06-2026 15.29,1200000,529.58,Land,Residential
1200000,Al Waheda,232.26,2026,1557,18-03-2026 15.18,1200000,232.26,Land,Residential
1200000,Hor Al Anz,278.71,2026,2592,04-06-2026 10.41,1200000,278.71,Land,Residential
1200000,Al Rashidiya,215.54,2026,1686,31-03-2026 9.20,1200000,215.54,Land,Residential
1200000,Al Rashidiya,215.54,2026,849,05-02-2026 15.03,1200000,215.54,Land,Residential
1200000,Jabal Ali First,111.05,2026,1394,05-03-2026 12.07,1200000,111.05,Unit,Flat
1206285,Al Barshaa South Third,76,2026,1473,12-03-2026 12.14,1206284.87,76,Unit,Flat
1210000,Al Barsha South Fifth,64.45,2026,1360,03-03-2026 12.00,1210000,64.45,Unit,Flat
1240270,Al Thanyah Third,73.34,2026,459,19-01-2026 10.10,1240270.15,73.34,Unit,Flat
1244184,Marsa Dubai,87.46,2026,418,15-01-2026 22.01,1244183.63,87.46,Unit,Flat
1245195,Jabal Ali First,98.21,2026,2473,20-05-2026 12.48,1245195.29,98.21,Unit,Flat
1265017,Hor Al Anz,213.68,2026,1132,17-02-2026 10.09,1265017,213.68,Land,Residential
1269858,Al Yelayiss 2,91.31,2026,1488,13-03-2026 11.50,1269858.15,91.31,Unit,Flat
1270491,Madinat Al Mataar,92.27,2026,1726,01-04-2026 11.57,1270491.46,92.27,Unit,Flat
1276028,Eyal Nasser,107.77,2026,1330,02-03-2026 0.00,1276028,107.77,Land,Commercial
1281131,Al Thanyah Third,72.15,2026,1526,16-03-2026 14.28,1281130.65,72.15,Unit,Flat
1285790,Al Barsha South Fourth,88.96,2026,1217,23-02-2026 13.08,1285790.36,88.96,Unit,Flat
1287315,Al Barsha South Fourth,88.96,2026,1211,23-02-2026 12.52,1287314.83,88.96,Unit,Flat
1287524,Hor Al Anz,239.23,2026,668,28-01-2026 17.51,1287524,239.23,Land,Residential
1287599,Al Muteena,199.37,2026,2350,12-05-2026 12.28,1287599,199.37,Land,Commercial
1294144,Hor Al Anz,218.6,2026,312,13-01-2026 14.40,1294144,218.6,Land,Residential
1298593,Al Barsha South Fourth,89.52,2026,1206,23-02-2026 12.37,1298592.85,89.52,Unit,Flat
1300000,Al Rashidiya,334.45,2026,2378,14-05-2026 12.34,1300000,334.45,Land,Residential
1300000,Al Rashidiya,332.31,2026,778,03-02-2026 11.38,1300000,332.31,Land,Residential
